Time,Data
2023-09-26T16:52:00,258.3
2023-09-26T16:54:00,277.0
2023-09-26T16:56:00,348.0
2023-09-26T16:58:00,340.4
2023-09-26T17:00:00,370.0
2023-09-26T17:02:00,361.0
2023-09-26T17:04:00,406.0
2023-09-26T17:06:00,387.0
2023-09-26T17:08:00,395.0
2023-09-26T17:10:00,275.3
2023-09-26T17:12:00,336.2
2023-09-26T17:14:00,332.0
2023-09-26T17:16:00,300.3
2023-09-26T17:18:00,294.0
2023-09-26T17:20:00,147.0
2023-09-26T17:22:00,143.3
2023-09-26T17:24:00,141.0
2023-09-26T17:26:00,135.0
2023-09-26T17:28:00,138.4
2023-09-26T17:30:00,135.0
2023-09-26T17:32:00,132.0
2023-09-26T17:34:00,139.0
2023-09-26T17:36:00,144.3
2023-09-26T17:38:00,146.1
2023-09-26T17:40:00,143.0
2023-09-26T17:42:00,140.0
2023-09-26T17:44:00,134.0
2023-09-26T17:46:00,141.1
2023-09-26T17:48:00,158.0
2023-09-26T17:50:00,165.0
2023-09-26T17:52:00,180.0
2023-09-26T17:54:00,149.4
2023-09-26T17:56:00,140.1
2023-09-26T17:58:00,118.0
2023-09-26T18:00:00,105.3
2023-09-26T18:02:00,100.3
2023-09-26T18:04:00,92.4
2023-09-26T18:06:00,84.51
2023-09-26T18:08:00,79.72
2023-09-26T18:10:00,75.5
2023-09-26T18:12:00,68.9
2023-09-26T18:14:00,68.42
2023-09-26T18:16:00,62.3
2023-09-26T18:18:00,56.3
2023-09-26T18:20:00,54.84
2023-09-26T18:22:00,54.63
2023-09-26T18:24:00,53.71
2023-09-26T18:26:00,53.8
2023-09-26T18:28:00,51.9
2023-09-26T18:30:00,50.4
2023-09-26T18:32:00,48.31
2023-09-26T18:34:00,44.34
2023-09-26T18:36:00,36.8
2023-09-26T18:38:00,34.5
2023-09-26T18:40:00,29.31
2023-09-26T18:42:00,25.53
2023-09-26T18:44:00,23.9
2023-09-26T18:46:00,20.13
2023-09-26T18:48:00,17.11
2023-09-26T18:50:00,14.8
2023-09-26T18:52:00,12.9
2023-09-26T18:54:00,10.5
2023-09-26T18:56:00,8.51
2023-09-26T18:58:00,7.231
2023-09-26T19:00:00,5.631
2023-09-26T19:02:00,3.654
2023-09-26T19:04:00,2.901
2023-09-26T19:06:00,2.112
2023-09-26T19:08:00,0.7942
2023-09-26T19:10:00,-0.02231
2023-09-26T19:12:00,-1.553
2023-09-26T19:14:00,-1.29
2023-09-26T19:16:00,-0.9844
2023-09-26T19:18:00,-1.484
2023-09-26T19:20:00,-1.87
2023-09-26T19:22:00,-1.46
2023-09-26T19:24:00,-1.53
2023-09-26T19:26:00,-0.918
2023-09-26T19:28:00,-0.947
