Time,Head Temperature Set-Point (C),Head Control Temperature (C),Head Limit Temperature (C),Coolant Inlet Temperature (C),Coolant Outlet Temperature (C),Back End Temperature (C),Ambient Temperature (C),PCB Temperature (C),Coolant Flow Rate (L/min),x-Axis Vibration Magnitude (g),y-Axis Vibration Magnitude (g),z-Axis Vibration Magnitude (g),Power (W),Voltage (V),Current (A),Frequency (Hz),Phase Angle (),Energy Generated (kWh),Engine Running,Engine Demand,Heat Source Enabled,Heat Source Running,Automatic Reset Flag,User Reset Flag,Service Reset Flag,Integrity Check Signal,Control State,Active Error Code,Automatic Reset Time (s),Fan Set-Point (rpm),Fan Speed (rpm),Fan Drive (%),ECU Software ID,VI Protection Software ID,Device Operating Time (h),Engine Running Time (h),Engine Starts,Engine Stops,Average Site Voltage (V),Average Running Voltage (V),External Modulation Signal (%),Heat Input Rate (s),Checksum Fail Count,Packet Count,Comments
2023-09-27T14:14:38,423.5,33.1,32.6,34.3,34.0,24.0,31.0,32.2,6.4,0.0,0.0,0.0,0,242.0,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,88,
2023-09-27T14:14:39,423.5,32.1,33.5,34.3,34.0,24.0,31.1,32.2,6.4,0.0,0.0,0.0,0,242.0,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,90,
2023-09-27T14:14:40,423.5,32.1,33.5,34.3,34.0,24.0,31.1,32.2,6.4,0.0,0.0,0.0,0,243.2,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,27.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,92,
2023-09-27T14:14:41,423.5,32.2,33.4,34.3,34.0,24.0,31.1,32.3,6.4,0.0,0.0,0.0,0,243.2,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,27.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,93,
2023-09-27T14:14:42,423.5,32.2,33.4,34.3,34.0,24.0,31.1,32.3,8.5,0.0,0.0,0.0,0,243.0,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,27.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,95,
2023-09-27T14:14:43,439.1,32.2,33.0,34.2,34.0,24.0,31.0,32.3,8.5,0.0,0.0,0.0,0,242.4,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,27.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,97,
2023-09-27T14:14:44,439.1,33.2,32.6,34.2,34.0,24.0,31.1,32.3,8.5,0.0,0.0,0.0,0,242.4,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,24.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,99,
2023-09-27T14:14:45,439.1,33.2,32.6,34.2,34.0,24.0,31.1,32.3,8.5,0.0,0.0,0.0,0,242.3,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,24.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,101,
2023-09-27T14:14:46,454.7,32.9,33.0,34.3,34.0,24.0,31.0,32.3,8.5,0.0,0.0,0.0,0,242.3,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,24.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,102,
2023-09-27T14:14:47,454.7,32.9,33.0,34.3,34.0,24.0,31.0,32.3,8.5,0.0,0.0,0.0,0,243.3,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,24.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,104,
2023-09-27T14:14:48,454.7,32.5,32.8,34.4,34.0,24.0,31.0,32.2,8.5,0.0,0.0,0.0,0,242.9,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,24.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,106,
2023-09-27T14:14:49,454.7,32.5,32.8,34.4,34.0,24.0,31.0,32.2,8.5,0.0,0.0,0.0,0,242.9,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,18.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,107,
2023-09-27T14:14:50,454.7,33.4,33.0,34.3,34.0,24.0,31.1,32.3,8.5,0.0,0.0,0.0,0,242.2,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,18.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,109,
2023-09-27T14:14:51,470.4,32.4,33.6,34.2,34.0,24.0,31.1,32.3,8.2,0.0,0.0,0.0,0,242.2,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,18.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,111,
2023-09-27T14:14:53,470.4,32.4,33.6,34.2,34.0,24.0,31.1,32.3,8.2,0.0,0.0,0.0,0,242.6,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,15.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,113,
2023-09-27T14:14:54,470.4,32.1,33.4,34.3,34.0,24.0,31.1,32.3,8.2,0.0,0.0,0.0,0,242.6,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,15.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,114,
2023-09-27T14:14:55,470.4,32.1,33.4,34.3,34.0,24.0,31.1,32.3,8.1,0.0,0.0,0.0,0,242.6,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,15.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,116,
2023-09-27T14:14:56,470.4,32.5,33.1,34.2,34.0,24.0,31.1,32.3,8.1,0.0,0.0,0.0,0,242.6,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,15.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,118,
2023-09-27T14:14:57,486.0,33.0,33.5,34.3,34.0,24.0,31.1,32.2,8.1,0.0,0.0,0.0,0,242.6,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,15.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,120,
2023-09-27T14:14:58,486.0,33.0,33.5,34.3,34.0,24.0,31.1,32.2,8.1,0.0,0.0,0.0,0,242.2,0.0,60.02,0.0,0.28,0,1,0,0,1,0,0,0,0,603,9.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,122,
2023-09-27T14:14:59,486.0,33.0,32.5,34.3,34.0,24.0,31.1,32.3,8.1,0.0,0.0,0.0,0,242.9,0.0,60.02,0.0,0.28,0,1,0,0,1,0,0,0,0,603,9.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,124,
2023-09-27T14:15:00,486.0,31.9,33.8,34.2,34.0,24.0,31.1,32.3,8.2,0.0,0.0,0.0,0,242.9,0.0,60.02,0.0,0.28,0,1,0,0,1,0,0,0,0,603,9.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,126,
2023-09-27T14:15:02,486.0,31.9,33.8,34.2,34.0,24.0,31.1,32.3,8.2,0.0,0.0,0.0,0,243.1,0.0,60.03,0.0,0.28,0,1,0,0,1,0,0,0,0,603,6.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,128,
2023-09-27T14:15:03,501.6,33.1,33.6,34.2,34.0,24.0,31.1,32.2,8.2,0.0,0.0,0.0,0,243.1,0.0,60.03,0.0,0.28,0,1,0,0,1,0,0,0,0,603,6.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,129,
2023-09-27T14:15:04,501.6,33.1,33.6,34.2,34.0,24.0,31.1,32.2,8.1,0.0,0.0,0.0,0,242.2,0.0,60.03,0.0,0.28,0,1,0,0,1,0,0,0,0,603,6.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,131,
2023-09-27T14:15:05,501.6,32.1,33.5,34.2,34.0,24.0,31.1,32.3,8.1,0.0,0.0,0.0,0,242.5,0.0,60.03,0.0,0.28,0,1,0,0,1,0,0,0,0,603,6.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,133,
2023-09-27T14:15:06,501.6,32.5,33.8,34.3,34.0,24.0,31.0,32.2,8.1,0.0,0.0,0.0,0,242.5,0.0,60.03,0.0,0.28,0,1,0,0,1,0,0,0,0,603,6.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,135,
2023-09-27T14:15:07,501.6,32.5,33.8,34.3,34.0,24.0,31.0,32.2,8.1,0.0,0.0,0.0,0,243.2,0.0,60.03,0.0,0.28,0,1,0,0,1,0,0,0,0,603,0.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,137,
2023-09-27T14:15:08,517.2,32.4,32.9,34.3,34.0,24.0,31.1,32.3,8.1,0.0,0.0,0.0,0,243.2,0.0,60.03,0.0,0.28,0,1,0,0,1,0,0,0,0,603,0.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,138,
2023-09-27T14:15:09,517.2,32.4,32.9,34.3,34.0,24.0,31.1,32.3,8.3,0.0,0.0,0.0,0,242.6,0.0,60.02,0.0,0.28,0,1,0,0,1,0,0,0,0,603,0.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,140,
2023-09-27T14:15:10,517.2,32.9,32.5,34.3,34.1,24.0,31.1,32.3,8.3,0.0,0.0,0.0,0,243.0,0.0,60.02,0.0,0.28,0,1,0,0,1,0,0,0,0,603,0.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,142,
